bookmaker,market,player,line,odds,side,est_win_prob,ev
Hard Rock Bet,player_blocks,Over,0.5,7.5,over,0.5,-0.4625
Hard Rock Bet,player_blocks,Over,0.5,7.0,over,0.5,-0.46499999999999997
Hard Rock Bet,player_blocks,Over,0.5,6.25,over,0.5,-0.46875
Hard Rock Bet,player_blocks,Over,0.5,6.25,over,0.5,-0.46875
Hard Rock Bet,player_blocks,Over,0.5,6.25,over,0.5,-0.46875
BetMGM,player_blocks,Over,0.5,6.25,over,0.5,-0.46875
Hard Rock Bet,player_blocks,Over,0.5,6.0,over,0.5,-0.47
Hard Rock Bet,player_blocks,Over,0.5,6.0,over,0.5,-0.47
Novig,player_blocks,Over,0.5,5.75,over,0.5,-0.47125
BetMGM,player_blocks,Over,0.5,5.75,over,0.5,-0.47125
Hard Rock Bet,player_blocks,Over,0.5,5.75,over,0.5,-0.47125
BetMGM,player_blocks,Over,0.5,5.75,over,0.5,-0.47125
Hard Rock Bet,player_blocks,Over,0.5,5.75,over,0.5,-0.47125
Hard Rock Bet,player_blocks,Over,0.5,5.75,over,0.5,-0.47125
DraftKings,player_blocks,Over,0.5,5.5,over,0.5,-0.4725
Fliff,player_blocks,Over,0.5,5.3,over,0.5,-0.4735
Hard Rock Bet,player_blocks,Over,0.5,5.25,over,0.5,-0.47375
Hard Rock Bet,player_blocks,Over,0.5,5.25,over,0.5,-0.47375
Hard Rock Bet,player_blocks,Over,0.5,5.0,over,0.5,-0.475
Hard Rock Bet,player_blocks,Over,0.5,5.0,over,0.5,-0.475
Hard Rock Bet,player_blocks,Over,0.5,5.0,over,0.5,-0.475
Hard Rock Bet,player_blocks,Over,0.5,5.0,over,0.5,-0.475
BetMGM,player_blocks,Over,0.5,4.75,over,0.5,-0.47625
Hard Rock Bet,player_blocks,Over,0.5,4.75,over,0.5,-0.47625
Hard Rock Bet,player_blocks,Over,0.5,4.75,over,0.5,-0.47625
Hard Rock Bet,player_blocks,Over,0.5,4.75,over,0.5,-0.47625
Hard Rock Bet,player_blocks,Over,0.5,4.75,over,0.5,-0.47625
Hard Rock Bet,player_blocks,Over,0.5,4.5,over,0.5,-0.4775
Hard Rock Bet,player_blocks,Over,0.5,4.5,over,0.5,-0.4775
Hard Rock Bet,player_blocks,Over,0.5,4.5,over,0.5,-0.4775
Hard Rock Bet,player_blocks,Over,0.5,4.25,over,0.5,-0.47875
Hard Rock Bet,player_blocks,Over,0.5,4.25,over,0.5,-0.47875
Hard Rock Bet,player_blocks,Over,0.5,4.25,over,0.5,-0.47875
DraftKings,player_threes,Over,0.5,4.25,over,0.5,-0.47875
Hard Rock Bet,player_blocks,Over,0.5,4.25,over,0.5,-0.47875
DraftKings,player_threes,Over,0.5,4.25,over,0.5,-0.47875
BetMGM,player_blocks,Over,0.5,4.2,over,0.5,-0.479
BetMGM,player_blocks,Over,0.5,4.2,over,0.5,-0.479
BetMGM,player_blocks,Over,0.5,4.1,over,0.5,-0.4795
BetMGM,player_blocks,Over,0.5,4.1,over,0.5,-0.4795
Hard Rock Bet,player_blocks,Over,0.5,4.0,over,0.5,-0.48
BetMGM,player_blocks,Over,0.5,4.0,over,0.5,-0.48
BetMGM,player_blocks,Over,0.5,4.0,over,0.5,-0.48
Fliff,player_threes,Over,0.5,4.0,over,0.5,-0.48
ProphetX,player_threes,Over,0.5,4.0,over,0.5,-0.48
Hard Rock Bet,player_blocks,Over,0.5,4.0,over,0.5,-0.48
Hard Rock Bet,player_blocks,Over,0.5,4.0,over,0.5,-0.48
Hard Rock Bet,player_blocks,Over,0.5,4.0,over,0.5,-0.48
BetMGM,player_blocks,Over,0.5,4.0,over,0.5,-0.48
BetMGM,player_blocks,Over,0.5,4.0,over,0.5,-0.48
BetMGM,player_blocks,Over,0.5,4.0,over,0.5,-0.48
Hard Rock Bet,player_blocks,Over,0.5,4.0,over,0.5,-0.48
Hard Rock Bet,player_blocks,Over,0.5,4.0,over,0.5,-0.48
Hard Rock Bet,player_blocks,Over,0.5,4.0,over,0.5,-0.48
Hard Rock Bet,player_threes,Over,0.5,4.0,over,0.5,-0.48
DraftKings,player_blocks,Over,0.5,4.0,over,0.5,-0.48
BetMGM,player_threes,Over,0.5,4.0,over,0.5,-0.48
Hard Rock Bet,player_blocks,Over,0.5,4.0,over,0.5,-0.48
Hard Rock Bet,player_blocks,Over,0.5,4.0,over,0.5,-0.48
