bookmaker,market,player,side,line,odds,implied_prob,fair_prob_over,fair_prob_under,fair_prob,ev,flag
ESPN BET,player_rebounds,Ryan Rollins,over,2.5,2.15,0.46511627906976744,0.5253863134657837,0.4746136865342163,0.5253863134657837,0.12958057395143485,🔥 VALUE
FanDuel,player_rebounds,Ryan Rollins,under,2.5,2.38,0.42016806722689076,0.5253863134657837,0.4746136865342163,0.4746136865342163,0.12958057395143485,🔥 VALUE
DraftKings,player_assists,Max Strus,under,4.5,2.2,0.45454545454545453,0.48888888888888893,0.5111111111111111,0.5111111111111111,0.12444444444444436,🔥 VALUE
Hard Rock Bet,player_assists,Max Strus,over,4.5,2.3,0.4347826086956522,0.48888888888888893,0.5111111111111111,0.48888888888888893,0.12444444444444436,🔥 VALUE
Hard Rock Bet,player_rebounds,Darius Garland,over,3.5,2.9,0.3448275862068966,0.38689217758985206,0.6131078224101479,0.38689217758985206,0.12198731501057103,🔥 VALUE
DraftKings,player_rebounds,Darius Garland,under,3.5,1.83,0.5464480874316939,0.38689217758985206,0.6131078224101479,0.6131078224101479,0.12198731501057081,🔥 VALUE
ESPN BET,player_rebounds,Luka Doncic,over,7.5,2.1,0.47619047619047616,0.5333333333333333,0.46666666666666673,0.5333333333333333,0.1200000000000001,🔥 VALUE
Bovada,player_rebounds,Luka Doncic,under,7.5,2.4,0.4166666666666667,0.5333333333333333,0.46666666666666673,0.46666666666666673,0.1200000000000001,🔥 VALUE
DraftKings,player_assists,Paolo Banchero,under,5.5,2.26,0.4424778761061947,0.506726457399103,0.49327354260089684,0.49327354260089684,0.11479820627802684,🔥 VALUE
FanDuel,player_assists,Paolo Banchero,over,5.5,2.2,0.45454545454545453,0.506726457399103,0.49327354260089684,0.506726457399103,0.11479820627802684,🔥 VALUE
Hard Rock Bet,player_rebounds,Anthony Edwards,over,4.5,2.2,0.45454545454545453,0.5022624434389141,0.497737556561086,0.5022624434389141,0.10497737556561115,🔥 VALUE
BetOnline.ag,player_rebounds,Anthony Edwards,under,4.5,2.22,0.4504504504504504,0.5022624434389141,0.497737556561086,0.497737556561086,0.10497737556561093,🔥 VALUE
DraftKings,player_assists,T.J. McConnell,under,2.5,2.2,0.45454545454545453,0.5,0.5,0.5,0.10000000000000009,🔥 VALUE
Hard Rock Bet,player_assists,T.J. McConnell,over,2.5,2.2,0.45454545454545453,0.5,0.5,0.5,0.10000000000000009,🔥 VALUE
Hard Rock Bet,player_assists,Austin Reaves,over,3.5,1.95,0.5128205128205129,0.5617977528089888,0.4382022471910112,0.5617977528089888,0.09550561797752821,🔥 VALUE
BetMGM,player_assists,Austin Reaves,under,3.5,2.5,0.4,0.5617977528089888,0.4382022471910112,0.4382022471910112,0.09550561797752799,🔥 VALUE
DraftKings,player_threes,Patrick Williams,over,3.5,2.65,0.37735849056603776,0.41111111111111115,0.5888888888888888,0.41111111111111115,0.08944444444444444,🔥 VALUE
FanDuel,player_threes,Patrick Williams,under,3.5,1.85,0.5405405405405405,0.41111111111111115,0.5888888888888888,0.5888888888888888,0.08944444444444422,🔥 VALUE
Caesars,player_rebounds,Bobby Portis,under,5.5,2.39,0.41841004184100417,0.5444191343963554,0.45558086560364464,0.45558086560364464,0.08883826879271073,🔥 VALUE
ESPN BET,player_rebounds,Bobby Portis,over,5.5,2.0,0.5,0.5444191343963554,0.45558086560364464,0.5444191343963554,0.08883826879271073,🔥 VALUE
BetOnline.ag,player_rebounds,Ryan Rollins,under,2.5,2.29,0.4366812227074236,0.5253863134657837,0.4746136865342163,0.4746136865342163,0.0868653421633554,🔥 VALUE
Hard Rock Bet,player_rebounds_assists,Bennedict Mathurin,over,5.5,2.35,0.425531914893617,0.4597701149425288,0.5402298850574713,0.4597701149425288,0.08045977011494276,🔥 VALUE
DraftKings,player_rebounds_assists,Bennedict Mathurin,under,5.5,2.0,0.5,0.4597701149425288,0.5402298850574713,0.5402298850574713,0.08045977011494254,🔥 VALUE
ESPN BET,player_rebounds,Anthony Edwards,over,4.5,2.15,0.46511627906976744,0.5022624434389141,0.497737556561086,0.5022624434389141,0.07986425339366532,🔥 VALUE
BetRivers,player_threes,Anthony Edwards,under,3.5,2.2,0.45454545454545453,0.5092592592592592,0.49074074074074076,0.49074074074074076,0.07962962962962972,🔥 VALUE
FanDuel,player_threes,Anthony Edwards,over,3.5,2.12,0.4716981132075471,0.5092592592592592,0.49074074074074076,0.5092592592592592,0.0796296296296295,🔥 VALUE
FanDuel,player_rebounds,Anthony Edwards,under,4.5,2.16,0.4629629629629629,0.5022624434389141,0.497737556561086,0.497737556561086,0.07511312217194588,🔥 VALUE
FanDuel,player_blocks,Luka Doncic,under,0.5,1.88,0.5319148936170213,0.4292237442922375,0.5707762557077626,0.5707762557077626,0.0730593607305936,🔥 VALUE
BetMGM,player_blocks,Luka Doncic,over,0.5,2.5,0.4,0.4292237442922375,0.5707762557077626,0.4292237442922375,0.0730593607305936,🔥 VALUE
BetRivers,player_rebounds,Anthony Edwards,under,4.5,2.15,0.46511627906976744,0.5022624434389141,0.497737556561086,0.497737556561086,0.07013574660633481,🔥 VALUE
DraftKings,player_assists,Nicolas Claxton,under,2.5,2.3,0.4347826086956522,0.5348837209302325,0.4651162790697675,0.4651162790697675,0.06976744186046524,🔥 VALUE
