bookmaker,market,team,side,line,odds,event_name,implied_prob,fair_prob_over,fair_prob_under,fair_prob,ev,flag,fair_prob_arsenal,fair_prob_brentford,fair_prob_aston villa,fair_prob_newcastle united,fair_prob_bournemouth,fair_prob_fulham,fair_prob_brighton and hove albion,fair_prob_crystal palace,fair_prob_chelsea,fair_prob_leicester city,fair_prob_liverpool,fair_prob_manchester city,fair_prob_manchester united,fair_prob_everton,fair_prob_nottingham forest,fair_prob_southampton,fair_prob_tottenham hotspur,fair_prob_west ham united,fair_prob_wolverhampton wanderers,sport
BetUS,totals,Under,under,2.5,2.18,Arsenal vs Brentford,0.4587155963302752,0.42084942084942084,0.5791505791505791,0.5791505791505791,0.26254826254826247,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
betPARX,totals,Over,over,3.5,3.0,Arsenal vs Brentford,0.3333333333333333,0.42084942084942084,0.5791505791505791,0.42084942084942084,0.26254826254826247,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Bally Bet,totals,Over,over,3.5,3.0,Arsenal vs Brentford,0.3333333333333333,0.42084942084942084,0.5791505791505791,0.42084942084942084,0.26254826254826247,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Wind Creek,totals,Under,under,2.5,2.15,Arsenal vs Brentford,0.46511627906976744,0.42084942084942084,0.5791505791505791,0.5791505791505791,0.24517374517374502,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Wind Creek,totals,Under,under,2.5,2.35,Tottenham Hotspur vs Nottingham Forest,0.425531914893617,0.47474747474747475,0.5252525252525253,0.5252525252525253,0.23434343434343452,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Bally Bet,totals,Over,over,3.5,2.6,Tottenham Hotspur vs Nottingham Forest,0.3846153846153846,0.47474747474747475,0.5252525252525253,0.47474747474747475,0.2343434343434343,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
betPARX,totals,Over,over,3.5,2.6,Tottenham Hotspur vs Nottingham Forest,0.3846153846153846,0.47474747474747475,0.5252525252525253,0.47474747474747475,0.2343434343434343,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetRivers,totals,Under,under,2.5,2.33,Tottenham Hotspur vs Nottingham Forest,0.4291845493562232,0.47474747474747475,0.5252525252525253,0.5252525252525253,0.22383838383838395,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
betPARX,totals,Over,over,3.5,2.55,Brentford vs Brighton and Hove Albion,0.3921568627450981,0.47959183673469385,0.520408163265306,0.47959183673469385,0.22295918367346923,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Wind Creek,totals,Under,under,2.5,2.35,Brentford vs Brighton and Hove Albion,0.425531914893617,0.47959183673469385,0.520408163265306,0.520408163265306,0.22295918367346923,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Bally Bet,totals,Over,over,3.5,2.55,Brentford vs Brighton and Hove Albion,0.3921568627450981,0.47959183673469385,0.520408163265306,0.47959183673469385,0.22295918367346923,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetRivers,totals,Under,under,2.5,2.4,Southampton vs Aston Villa,0.4166666666666667,0.4918032786885246,0.5081967213114754,0.5081967213114754,0.21967213114754092,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Bally Bet,totals,Over,over,3.5,2.48,Southampton vs Aston Villa,0.40322580645161293,0.4918032786885246,0.5081967213114754,0.4918032786885246,0.21967213114754092,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
betPARX,totals,Over,over,3.5,2.48,Southampton vs Aston Villa,0.40322580645161293,0.4918032786885246,0.5081967213114754,0.4918032786885246,0.21967213114754092,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetRivers,totals,Under,under,2.5,2.33,Brentford vs Brighton and Hove Albion,0.4291845493562232,0.47959183673469385,0.520408163265306,0.520408163265306,0.2125510204081631,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetRivers,totals,Under,under,2.5,2.08,Arsenal vs Brentford,0.4807692307692307,0.42084942084942084,0.5791505791505791,0.5791505791505791,0.20463320463320467,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetMGM,totals,Over,over,2.5,2.35,Arsenal vs Real Madrid,0.425531914893617,0.5104166666666667,0.4895833333333333,0.5104166666666667,0.19947916666666687,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
Bally Bet,totals,Under,under,1.5,2.45,Arsenal vs Real Madrid,0.4081632653061224,0.5104166666666667,0.4895833333333333,0.4895833333333333,0.19947916666666665,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
Fliff,totals,Under,under,1.5,2.45,Arsenal vs Real Madrid,0.4081632653061224,0.5104166666666667,0.4895833333333333,0.4895833333333333,0.19947916666666665,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
betPARX,totals,Under,under,1.5,2.45,Arsenal vs Real Madrid,0.4081632653061224,0.5104166666666667,0.4895833333333333,0.4895833333333333,0.19947916666666665,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
Wind Creek,totals,Under,under,2.5,2.35,Southampton vs Aston Villa,0.425531914893617,0.4918032786885246,0.5081967213114754,0.5081967213114754,0.19426229508196724,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
MyBookie.ag,totals,Under,under,2.5,2.06,Arsenal vs Brentford,0.4854368932038835,0.42084942084942084,0.5791505791505791,0.5791505791505791,0.1930501930501929,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Wind Creek,totals,Under,under,2.5,2.35,Brighton and Hove Albion vs Leicester City,0.425531914893617,0.49473684210526314,0.5052631578947369,0.5052631578947369,0.18736842105263163,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Bally Bet,totals,Over,over,3.5,2.4,Brighton and Hove Albion vs Leicester City,0.4166666666666667,0.49473684210526314,0.5052631578947369,0.49473684210526314,0.1873684210526314,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
betPARX,totals,Over,over,3.5,2.4,Brighton and Hove Albion vs Leicester City,0.4166666666666667,0.49473684210526314,0.5052631578947369,0.49473684210526314,0.1873684210526314,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetRivers,totals,Over,over,3.5,2.4,Brighton and Hove Albion vs Leicester City,0.4166666666666667,0.49473684210526314,0.5052631578947369,0.49473684210526314,0.1873684210526314,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Fliff,totals,Under,under,2.5,2.05,Arsenal vs Brentford,0.48780487804878053,0.42084942084942084,0.5791505791505791,0.5791505791505791,0.187258687258687,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Fliff,totals,Over,over,3.5,2.3,Manchester City vs Crystal Palace,0.4347826086956522,0.5157894736842106,0.4842105263157894,0.5157894736842106,0.1863157894736842,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
betPARX,totals,Under,under,2.5,2.45,Manchester City vs Crystal Palace,0.4081632653061224,0.5157894736842106,0.4842105263157894,0.4842105263157894,0.1863157894736842,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetRivers,totals,Under,under,2.5,2.45,Manchester City vs Crystal Palace,0.4081632653061224,0.5157894736842106,0.4842105263157894,0.4842105263157894,0.1863157894736842,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Bally Bet,totals,Under,under,2.5,2.45,Manchester City vs Crystal Palace,0.4081632653061224,0.5157894736842106,0.4842105263157894,0.4842105263157894,0.1863157894736842,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
MyBookie.ag,totals,Under,under,2.5,2.27,Brentford vs Brighton and Hove Albion,0.44052863436123346,0.47959183673469385,0.520408163265306,0.520408163265306,0.18132653061224469,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
MyBookie.ag,totals,Under,under,2.5,2.21,Tottenham Hotspur vs Nottingham Forest,0.45248868778280543,0.47474747474747475,0.5252525252525253,0.5252525252525253,0.16080808080808096,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Fliff,totals,Under,under,2.5,2.2,Tottenham Hotspur vs Nottingham Forest,0.45454545454545453,0.47474747474747475,0.5252525252525253,0.5252525252525253,0.15555555555555567,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetRivers,totals,Under,under,1.5,2.35,Arsenal vs Real Madrid,0.425531914893617,0.5104166666666667,0.4895833333333333,0.4895833333333333,0.15052083333333344,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
MyBookie.ag,totals,Under,under,2.5,2.27,Brighton and Hove Albion vs Leicester City,0.44052863436123346,0.49473684210526314,0.5052631578947369,0.5052631578947369,0.14694736842105272,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Fliff,totals,Under,under,2.5,2.2,Brentford vs Brighton and Hove Albion,0.45454545454545453,0.47959183673469385,0.520408163265306,0.520408163265306,0.14489795918367343,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Wind Creek,totals,Under,under,2.5,2.35,Manchester City vs Crystal Palace,0.425531914893617,0.5157894736842106,0.4842105263157894,0.4842105263157894,0.1378947368421053,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Fliff,totals,Under,under,2.5,2.25,Brighton and Hove Albion vs Leicester City,0.4444444444444444,0.49473684210526314,0.5052631578947369,0.5052631578947369,0.13684210526315788,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
MyBookie.ag,totals,Under,under,2.5,2.23,Southampton vs Aston Villa,0.4484304932735426,0.4918032786885246,0.5081967213114754,0.5081967213114754,0.13327868852459024,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
MyBookie.ag,totals,Under,under,2.5,2.31,Manchester City vs Crystal Palace,0.4329004329004329,0.5157894736842106,0.4842105263157894,0.4842105263157894,0.11852631578947359,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Fliff,totals,Under,under,2.5,2.2,Southampton vs Aston Villa,0.45454545454545453,0.4918032786885246,0.5081967213114754,0.5081967213114754,0.11803278688524599,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetUS,spreads,Tottenham Hotspur,tottenham hotspur,0.0,2.25,Wolverhampton Wanderers vs Tottenham Hotspur,0.4444444444444444,,,0.4955156950672646,0.11491031390134543,🔥 VALUE,,,,,,,,,,,,,,,,,0.4955156950672646,,0.5044843049327354,soccer_epl
MyBookie.ag,spreads,Wolverhampton Wanderers,wolverhampton wanderers,-0.5,2.21,Wolverhampton Wanderers vs Tottenham Hotspur,0.45248868778280543,,,0.5044843049327354,0.1149103139013452,🔥 VALUE,,,,,,,,,,,,,,,,,0.4955156950672646,,0.5044843049327354,soccer_epl
LowVig.ag,totals,Under,under,2.75,1.92,Arsenal vs Brentford,0.5208333333333334,0.42084942084942084,0.5791505791505791,0.5791505791505791,0.11196911196911175,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetOnline.ag,totals,Under,under,2.75,1.92,Arsenal vs Brentford,0.5208333333333334,0.42084942084942084,0.5791505791505791,0.5791505791505791,0.11196911196911175,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
betPARX,totals,Under,under,2.5,2.35,Wolverhampton Wanderers vs Tottenham Hotspur,0.425531914893617,0.5280898876404494,0.47191011235955055,0.47191011235955055,0.10898876404494384,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetRivers,totals,Under,under,2.5,2.35,Wolverhampton Wanderers vs Tottenham Hotspur,0.425531914893617,0.5280898876404494,0.47191011235955055,0.47191011235955055,0.10898876404494384,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetUS,totals,Over,over,3.0,2.1,Wolverhampton Wanderers vs Tottenham Hotspur,0.47619047619047616,0.5280898876404494,0.47191011235955055,0.5280898876404494,0.10898876404494384,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Bally Bet,totals,Under,under,2.5,2.35,Wolverhampton Wanderers vs Tottenham Hotspur,0.425531914893617,0.5280898876404494,0.47191011235955055,0.47191011235955055,0.10898876404494384,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Bovada,totals,Under,under,2.75,1.91,Arsenal vs Brentford,0.5235602094240838,0.42084942084942084,0.5791505791505791,0.5791505791505791,0.10617760617760608,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetAnySports,totals,Under,under,2.75,1.91,Arsenal vs Brentford,0.5235602094240838,0.42084942084942084,0.5791505791505791,0.5791505791505791,0.10617760617760608,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
betPARX,totals,Over,over,3.5,2.38,Paris Saint Germain vs Aston Villa,0.42016806722689076,0.46031746031746024,0.5396825396825397,0.46031746031746024,0.0955555555555554,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
LowVig.ag,totals,Under,under,3.0,2.03,Paris Saint Germain vs Aston Villa,0.4926108374384237,0.46031746031746024,0.5396825396825397,0.5396825396825397,0.0955555555555554,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
Bally Bet,totals,Over,over,3.5,2.38,Paris Saint Germain vs Aston Villa,0.42016806722689076,0.46031746031746024,0.5396825396825397,0.46031746031746024,0.0955555555555554,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
