bookmaker,market,player,side,line,odds,implied_prob,fair_prob_over,fair_prob_under,fair_prob,ev,flag,bet_type,timestamp
DraftKings,player_rebounds,Shaedon Sharpe,under,6.5,1.77,0.5649717514124294,0.4050343249427917,0.5949656750572082,0.5949656750572082,0.0530892448512585,🔥 VALUE,straight,2025-04-03 04:45:16.409820
Fliff,player_rebounds,Gabe Vincent,Over,1.5,1.8,,0.5862516212710764,,0.5862516212710764,0.0552529182879375,,straight,2025-04-03 04:45:16.485973
FanDuel,player_threes,Franz Wagner,over,1.5,1.82,0.5494505494505494,0.5687203791469194,0.4312796208530806,0.5687203791469194,0.0350710900473933,,straight,2025-04-03 04:46:26.240764
FanDuel,player_threes,Kentavious Caldwell-Pope,under,1.5,2.04,0.4901960784313725,0.4927536231884058,0.5072463768115942,0.5072463768115942,0.0347826086956521,,straight,2025-04-03 04:46:26.240764
DraftKings,player_rebounds,Brook Lopez,under,6.5,1.87,0.53475935828877,0.4484412470023981,0.5515587529976018,0.5515587529976018,0.0314148681055155,,straight,2025-04-03 04:46:26.240764
DraftKings,player_points,Deni Avdija,under,25.5,1.8,0.5555555555555556,0.4285714285714285,0.5714285714285714,0.5714285714285714,0.0285714285714284,,straight,2025-04-03 04:46:26.240764
Fliff,player_rebounds,Jordan Poole,Over,2.5,2.15,,0.4872483221476509,,0.4872483221476509,0.0475838926174494,,straight,2025-04-03 04:46:26.382085
Fliff,player_rebounds,AJ Johnson,Over,3.5,1.91,,0.5466666666666666,,0.5466666666666666,0.0441333333333331,,straight,2025-04-03 04:46:26.382085
Fliff,player_rebounds,Carlton Carrington,Over,4.5,1.83,,0.5555555555555556,,0.5555555555555556,0.0166666666666668,,straight,2025-04-03 04:46:26.382085
Fliff,player_assists,Zach Edey,Under,0.5,2.4,,0.5657894736842105,,0.4342105263157895,0.0421052631578946,,straight,2025-04-03 15:19:31.400569
DraftKings,player_assists,Carlton Carrington,over,5.5,2.2,0.4545454545454545,0.464720194647202,0.5352798053527981,0.464720194647202,0.0223844282238445,,straight,2025-04-03 17:22:54.697358
Hard Rock Bet,player_assists,Mike Conley,under,4.5,1.8,0.5555555555555556,0.4347826086956521,0.5652173913043478,0.5652173913043478,0.0173913043478259,,straight,2025-04-03 17:22:54.697358
FanDuel,player_threes,Quentin Grimes,under,3.5,1.76,0.5681818181818182,0.4230769230769231,0.576923076923077,0.576923076923077,0.0153846153846155,,straight,2025-04-03 17:22:54.697358
Hard Rock Bet,player_rebounds,Alex Sarr,over,5.5,2.0,0.5,0.5061728395061729,0.4938271604938272,0.5061728395061729,0.0123456790123457,,straight,2025-04-03 17:22:54.697358
